Case_No,Prompt,LLM,Ground Truth,Prediction
60,P3,Claude-3,0,0
41,P3,Gemini-2,1,1
42,P3,Gemini-2,1,1
43,P3,Gemini-2,1,1
44,P3,Gemini-2,1,1
45,P3,Gemini-2,1,1
46,P3,Gemini-2,1,1
47,P3,Gemini-2,1,1
48,P3,Gemini-2,0,1
49,P3,Gemini-2,0,0
50,P3,Gemini-2,0,1
51,P3,Gemini-2,1,1
52,P3,Gemini-2,1,1
53,P3,Gemini-2,1,1
54,P3,Gemini-2,1,1
55,P3,Gemini-2,1,1
56,P3,Gemini-2,1,1
57,P3,Gemini-2,1,1
58,P3,Gemini-2,0,0
59,P3,Gemini-2,0,0
60,P3,Gemini-2,0,0
41,P3,DeepSeek,1,1
42,P3,DeepSeek,1,1
43,P3,DeepSeek,1,1
44,P3,DeepSeek,1,1
45,P3,DeepSeek,1,1
46,P3,DeepSeek,1,1
47,P3,DeepSeek,1,1
48,P3,DeepSeek,0,0
49,P3,DeepSeek,0,1
50,P3,DeepSeek,0,0
51,P3,DeepSeek,1,1
52,P3,DeepSeek,1,1
53,P3,DeepSeek,1,1
54,P3,DeepSeek,1,1
55,P3,DeepSeek,1,1
56,P3,DeepSeek,1,1
57,P3,DeepSeek,1,1
58,P3,DeepSeek,0,0
59,P3,DeepSeek,0,1
60,P3,DeepSeek,0,0
41,P4,GPT-4o,1,1
42,P4,GPT-4o,1,1
43,P4,GPT-4o,1,1
44,P4,GPT-4o,1,1
45,P4,GPT-4o,1,1
46,P4,GPT-4o,1,1
47,P4,GPT-4o,1,1
48,P4,GPT-4o,0,0
49,P4,GPT-4o,0,1
50,P4,GPT-4o,0,0
51,P4,GPT-4o,1,1
52,P4,GPT-4o,1,1
53,P4,GPT-4o,1,1
54,P4,GPT-4o,1,1
55,P4,GPT-4o,1,1
56,P4,GPT-4o,1,1
57,P4,GPT-4o,1,1
58,P4,GPT-4o,0,0
59,P4,GPT-4o,0,0
60,P4,GPT-4o,0,0
41,P4,Claude-3,1,1
42,P4,Claude-3,1,1
43,P4,Claude-3,1,1
44,P4,Claude-3,1,1
45,P4,Claude-3,1,1
46,P4,Claude-3,1,1
47,P4,Claude-3,1,1
48,P4,Claude-3,0,0
49,P4,Claude-3,0,0
50,P4,Claude-3,0,0
51,P4,Claude-3,1,1
52,P4,Claude-3,1,1
53,P4,Claude-3,1,1
54,P4,Claude-3,1,1
55,P4,Claude-3,1,1
56,P4,Claude-3,1,1
57,P4,Claude-3,1,1
58,P4,Claude-3,0,0
59,P4,Claude-3,0,0
60,P4,Claude-3,0,0
41,P4,Gemini-2,1,1
42,P4,Gemini-2,1,1
43,P4,Gemini-2,1,1
44,P4,Gemini-2,1,1
45,P4,Gemini-2,1,1
46,P4,Gemini-2,1,1
47,P4,Gemini-2,1,1
48,P4,Gemini-2,0,0
49,P4,Gemini-2,0,0
50,P4,Gemini-2,0,0
51,P4,Gemini-2,1,1
52,P4,Gemini-2,1,1
53,P4,Gemini-2,1,1
54,P4,Gemini-2,1,1
55,P4,Gemini-2,1,1
56,P4,Gemini-2,1,1
57,P4,Gemini-2,1,1
58,P4,Gemini-2,0,0
59,P4,Gemini-2,0,0
60,P4,Gemini-2,0,0
41,P4,DeepSeek,1,1
42,P4,DeepSeek,1,1
43,P4,DeepSeek,1,1
44,P4,DeepSeek,1,1
45,P4,DeepSeek,1,1
46,P4,DeepSeek,1,1
47,P4,DeepSeek,1,1
48,P4,DeepSeek,0,0
49,P4,DeepSeek,0,1
50,P4,DeepSeek,0,0
51,P4,DeepSeek,1,1
52,P4,DeepSeek,1,1
53,P4,DeepSeek,1,1
54,P4,DeepSeek,1,1
55,P4,DeepSeek,1,1
56,P4,DeepSeek,1,1
57,P4,DeepSeek,1,1
58,P4,DeepSeek,0,0
59,P4,DeepSeek,0,0
60,P4,DeepSeek,0,0
41,P5,GPT-4o,1,1
42,P5,GPT-4o,1,1
43,P5,GPT-4o,1,1
44,P5,GPT-4o,1,1
45,P5,GPT-4o,1,1
46,P5,GPT-4o,1,1
47,P5,GPT-4o,1,1
48,P5,GPT-4o,0,0
49,P5,GPT-4o,0,1
50,P5,GPT-4o,0,0
51,P5,GPT-4o,1,1
52,P5,GPT-4o,1,1
53,P5,GPT-4o,1,1
54,P5,GPT-4o,1,1
55,P5,GPT-4o,1,1
56,P5,GPT-4o,1,1
57,P5,GPT-4o,1,1
58,P5,GPT-4o,0,0
59,P5,GPT-4o,0,0
60,P5,GPT-4o,0,0
41,P5,Claude-3,1,1
42,P5,Claude-3,1,1
43,P5,Claude-3,1,1
44,P5,Claude-3,1,1
45,P5,Claude-3,1,1
46,P5,Claude-3,1,1
47,P5,Claude-3,1,1
48,P5,Claude-3,0,0
49,P5,Claude-3,0,0
50,P5,Claude-3,0,0
51,P5,Claude-3,1,1
52,P5,Claude-3,1,1
53,P5,Claude-3,1,1
54,P5,Claude-3,1,1
55,P5,Claude-3,1,1
56,P5,Claude-3,1,1
57,P5,Claude-3,1,1
58,P5,Claude-3,0,0
59,P5,Claude-3,0,0
60,P5,Claude-3,0,0
41,P5,Gemini-2,1,1
42,P5,Gemini-2,1,1
43,P5,Gemini-2,1,1
44,P5,Gemini-2,1,1
45,P5,Gemini-2,1,1
46,P5,Gemini-2,1,1
47,P5,Gemini-2,1,1
48,P5,Gemini-2,0,0
49,P5,Gemini-2,0,0
50,P5,Gemini-2,0,0
51,P5,Gemini-2,1,1
52,P5,Gemini-2,1,1
53,P5,Gemini-2,1,1
54,P5,Gemini-2,1,1
55,P5,Gemini-2,1,1
56,P5,Gemini-2,1,1
57,P5,Gemini-2,1,1
58,P5,Gemini-2,0,0
59,P5,Gemini-2,0,0
60,P5,Gemini-2,0,0
41,P5,DeepSeek,1,1
42,P5,DeepSeek,1,1
43,P5,DeepSeek,1,1
44,P5,DeepSeek,1,1
45,P5,DeepSeek,1,1
46,P5,DeepSeek,1,1
47,P5,DeepSeek,1,1
48,P5,DeepSeek,0,0
49,P5,DeepSeek,0,0
50,P5,DeepSeek,0,0
51,P5,DeepSeek,1,1
52,P5,DeepSeek,1,1
53,P5,DeepSeek,1,1
54,P5,DeepSeek,1,1
55,P5,DeepSeek,1,1
56,P5,DeepSeek,1,1
57,P5,DeepSeek,1,1
58,P5,DeepSeek,0,0
59,P5,DeepSeek,0,0
60,P5,DeepSeek,0,0
41,P6,GPT-4o,1,1
42,P6,GPT-4o,1,1
43,P6,GPT-4o,1,1
44,P6,GPT-4o,1,1
45,P6,GPT-4o,1,1
46,P6,GPT-4o,1,1
47,P6,GPT-4o,1,1
48,P6,GPT-4o,0,0
49,P6,GPT-4o,0,1
50,P6,GPT-4o,0,0
51,P6,GPT-4o,1,1
52,P6,GPT-4o,1,1
53,P6,GPT-4o,1,1
54,P6,GPT-4o,1,1
55,P6,GPT-4o,1,1
56,P6,GPT-4o,1,1
57,P6,GPT-4o,1,1
58,P6,GPT-4o,0,0
59,P6,GPT-4o,0,1
60,P6,GPT-4o,0,0
41,P6,Claude-3,1,1
42,P6,Claude-3,1,1
43,P6,Claude-3,1,1
44,P6,Claude-3,1,1
45,P6,Claude-3,1,1
46,P6,Claude-3,1,1
47,P6,Claude-3,1,1
48,P6,Claude-3,0,0
49,P6,Claude-3,0,0
50,P6,Claude-3,0,0
51,P6,Claude-3,1,1
52,P6,Claude-3,1,1
53,P6,Claude-3,1,1
54,P6,Claude-3,1,1
55,P6,Claude-3,1,1
56,P6,Claude-3,1,1
57,P6,Claude-3,1,1
58,P6,Claude-3,0,1
59,P6,Claude-3,0,0
60,P6,Claude-3,0,0
41,P6,Gemini-2,1,1
42,P6,Gemini-2,1,1
43,P6,Gemini-2,1,1
44,P6,Gemini-2,1,1
45,P6,Gemini-2,1,1
46,P6,Gemini-2,1,1
47,P6,Gemini-2,1,1
48,P6,Gemini-2,0,0
49,P6,Gemini-2,0,0
50,P6,Gemini-2,0,0
51,P6,Gemini-2,1,1
52,P6,Gemini-2,1,1
53,P6,Gemini-2,1,1
54,P6,Gemini-2,1,1
55,P6,Gemini-2,1,1
56,P6,Gemini-2,1,1
57,P6,Gemini-2,1,1
58,P6,Gemini-2,0,0
59,P6,Gemini-2,0,0
60,P6,Gemini-2,0,0
41,P6,DeepSeek,1,1
42,P6,DeepSeek,1,1
43,P6,DeepSeek,1,1
44,P6,DeepSeek,1,1
45,P6,DeepSeek,1,1
46,P6,DeepSeek,1,1
47,P6,DeepSeek,1,1
48,P6,DeepSeek,0,0
49,P6,DeepSeek,0,1
50,P6,DeepSeek,0,0
51,P6,DeepSeek,1,1
52,P6,DeepSeek,1,1
53,P6,DeepSeek,1,1
54,P6,DeepSeek,1,1
55,P6,DeepSeek,1,1
56,P6,DeepSeek,1,1
57,P6,DeepSeek,1,1
58,P6,DeepSeek,0,0
59,P6,DeepSeek,0,1
60,P6,DeepSeek,0,0
41,P7,GPT-4o,1,1
42,P7,GPT-4o,1,1
43,P7,GPT-4o,1,1
44,P7,GPT-4o,1,1
45,P7,GPT-4o,1,1
46,P7,GPT-4o,1,1
47,P7,GPT-4o,1,1
48,P7,GPT-4o,0,0
49,P7,GPT-4o,0,0
50,P7,GPT-4o,0,0
51,P7,GPT-4o,1,1
52,P7,GPT-4o,1,1
53,P7,GPT-4o,1,1
54,P7,GPT-4o,1,1
55,P7,GPT-4o,1,1
56,P7,GPT-4o,1,1
57,P7,GPT-4o,1,1
58,P7,GPT-4o,0,0
59,P7,GPT-4o,0,0
60,P7,GPT-4o,0,0
41,P7,Claude-3,1,1
42,P7,Claude-3,1,1
43,P7,Claude-3,1,1
44,P7,Claude-3,1,1
45,P7,Claude-3,1,1
46,P7,Claude-3,1,1
47,P7,Claude-3,1,1
48,P7,Claude-3,0,0
49,P7,Claude-3,0,0
50,P7,Claude-3,0,0
51,P7,Claude-3,1,1
52,P7,Claude-3,1,1
53,P7,Claude-3,1,1
54,P7,Claude-3,1,1
55,P7,Claude-3,1,1
56,P7,Claude-3,1,1
57,P7,Claude-3,1,1
58,P7,Claude-3,0,0
59,P7,Claude-3,0,1
60,P7,Claude-3,0,0
41,P7,Gemini-2,1,1
42,P7,Gemini-2,1,1
43,P7,Gemini-2,1,1
44,P7,Gemini-2,1,1
45,P7,Gemini-2,1,1
46,P7,Gemini-2,1,1
47,P7,Gemini-2,1,1
48,P7,Gemini-2,0,0
49,P7,Gemini-2,0,0
50,P7,Gemini-2,0,0
51,P7,Gemini-2,1,1
52,P7,Gemini-2,1,1
53,P7,Gemini-2,1,1
54,P7,Gemini-2,1,1
55,P7,Gemini-2,1,1
56,P7,Gemini-2,1,1
57,P7,Gemini-2,1,1
58,P7,Gemini-2,0,0
59,P7,Gemini-2,0,0
60,P7,Gemini-2,0,0
41,P7,DeepSeek,1,1
42,P7,DeepSeek,1,1
43,P7,DeepSeek,1,1
44,P7,DeepSeek,1,1
45,P7,DeepSeek,1,1
46,P7,DeepSeek,1,1
47,P7,DeepSeek,1,1
48,P7,DeepSeek,0,0
49,P7,DeepSeek,0,0
50,P7,DeepSeek,0,0
51,P7,DeepSeek,1,1
52,P7,DeepSeek,1,1
53,P7,DeepSeek,1,1
54,P7,DeepSeek,1,1
55,P7,DeepSeek,1,1
56,P7,DeepSeek,1,1
57,P7,DeepSeek,1,1
58,P7,DeepSeek,0,0
59,P7,DeepSeek,0,0
60,P7,DeepSeek,0,0
41,P8,GPT-4o,1,1
42,P8,GPT-4o,1,1
43,P8,GPT-4o,1,1
44,P8,GPT-4o,1,1
45,P8,GPT-4o,1,1
46,P8,GPT-4o,1,1
47,P8,GPT-4o,1,1
48,P8,GPT-4o,0,0
49,P8,GPT-4o,0,0
50,P8,GPT-4o,0,0
51,P8,GPT-4o,1,1
52,P8,GPT-4o,1,1
53,P8,GPT-4o,1,1
54,P8,GPT-4o,1,1
55,P8,GPT-4o,1,1
56,P8,GPT-4o,1,1
57,P8,GPT-4o,1,1
58,P8,GPT-4o,0,0
59,P8,GPT-4o,0,0
60,P8,GPT-4o,0,0
41,P8,Claude-3,1,1
42,P8,Claude-3,1,1
43,P8,Claude-3,1,1
44,P8,Claude-3,1,1
45,P8,Claude-3,1,1
46,P8,Claude-3,1,1
47,P8,Claude-3,1,1
48,P8,Claude-3,0,0
49,P8,Claude-3,0,0
50,P8,Claude-3,0,0
51,P8,Claude-3,1,1
52,P8,Claude-3,1,1
53,P8,Claude-3,1,1
54,P8,Claude-3,1,1
55,P8,Claude-3,1,1
56,P8,Claude-3,1,1
57,P8,Claude-3,1,1
58,P8,Claude-3,0,0
59,P8,Claude-3,0,0
60,P8,Claude-3,0,0
41,P8,Gemini-2,1,1
42,P8,Gemini-2,1,1
43,P8,Gemini-2,1,1
44,P8,Gemini-2,1,1
45,P8,Gemini-2,1,1
46,P8,Gemini-2,1,1
47,P8,Gemini-2,1,1
48,P8,Gemini-2,0,0
49,P8,Gemini-2,0,1
50,P8,Gemini-2,0,0
51,P8,Gemini-2,1,1
52,P8,Gemini-2,1,1
53,P8,Gemini-2,1,1
54,P8,Gemini-2,1,1
55,P8,Gemini-2,1,1
56,P8,Gemini-2,1,1
57,P8,Gemini-2,1,1
58,P8,Gemini-2,0,1
59,P8,Gemini-2,0,0
60,P8,Gemini-2,0,0
41,P8,DeepSeek,1,1
42,P8,DeepSeek,1,1
43,P8,DeepSeek,1,1
44,P8,DeepSeek,1,1
45,P8,DeepSeek,1,1
46,P8,DeepSeek,1,1
47,P8,DeepSeek,1,1
48,P8,DeepSeek,0,0
49,P8,DeepSeek,0,1
50,P8,DeepSeek,0,0
51,P8,DeepSeek,1,1
52,P8,DeepSeek,1,1
53,P8,DeepSeek,1,1
54,P8,DeepSeek,1,1
55,P8,DeepSeek,1,1
56,P8,DeepSeek,1,1
57,P8,DeepSeek,1,1
58,P8,DeepSeek,0,0
59,P8,DeepSeek,0,0
60,P8,DeepSeek,0,0
41,P9,GPT-4o,1,1
42,P9,GPT-4o,1,1
43,P9,GPT-4o,1,1
44,P9,GPT-4o,1,1
45,P9,GPT-4o,1,1
46,P9,GPT-4o,1,1
47,P9,GPT-4o,1,1
48,P9,GPT-4o,0,0
49,P9,GPT-4o,0,0
50,P9,GPT-4o,0,0
51,P9,GPT-4o,1,1
52,P9,GPT-4o,1,1
53,P9,GPT-4o,1,1
54,P9,GPT-4o,1,1
55,P9,GPT-4o,1,1
56,P9,GPT-4o,1,1
57,P9,GPT-4o,1,1
58,P9,GPT-4o,0,0
59,P9,GPT-4o,0,0
60,P9,GPT-4o,0,0
41,P9,Claude-3,1,1
42,P9,Claude-3,1,1
43,P9,Claude-3,1,1
44,P9,Claude-3,1,1
45,P9,Claude-3,1,1
46,P9,Claude-3,1,1
47,P9,Claude-3,1,1
48,P9,Claude-3,0,0
49,P9,Claude-3,0,0
50,P9,Claude-3,0,1
51,P9,Claude-3,1,1
52,P9,Claude-3,1,1
53,P9,Claude-3,1,1
54,P9,Claude-3,1,1
55,P9,Claude-3,1,1
56,P9,Claude-3,1,1
57,P9,Claude-3,1,1
58,P9,Claude-3,0,0
59,P9,Claude-3,0,1
60,P9,Claude-3,0,0
41,P9,Gemini-2,1,1
42,P9,Gemini-2,1,1
43,P9,Gemini-2,1,1
44,P9,Gemini-2,1,1
45,P9,Gemini-2,1,1
46,P9,Gemini-2,1,1
47,P9,Gemini-2,1,0
48,P9,Gemini-2,0,0
49,P9,Gemini-2,0,0
50,P9,Gemini-2,0,0
51,P9,Gemini-2,1,1
52,P9,Gemini-2,1,1
53,P9,Gemini-2,1,1
54,P9,Gemini-2,1,1
55,P9,Gemini-2,1,1
56,P9,Gemini-2,1,1
57,P9,Gemini-2,1,1
58,P9,Gemini-2,0,0
59,P9,Gemini-2,0,0
60,P9,Gemini-2,0,0
41,P9,DeepSeek,1,1
42,P9,DeepSeek,1,1
43,P9,DeepSeek,1,1
44,P9,DeepSeek,1,1
45,P9,DeepSeek,1,1
46,P9,DeepSeek,1,1
47,P9,DeepSeek,1,1
48,P9,DeepSeek,0,0
49,P9,DeepSeek,0,1
50,P9,DeepSeek,0,0
51,P9,DeepSeek,1,1
52,P9,DeepSeek,1,1
53,P9,DeepSeek,1,1
54,P9,DeepSeek,1,1
55,P9,DeepSeek,1,1
56,P9,DeepSeek,1,1
57,P9,DeepSeek,1,1
58,P9,DeepSeek,0,0
59,P9,DeepSeek,0,1
60,P9,DeepSeek,0,0
41,P10,GPT-4o,1,1
42,P10,GPT-4o,1,1
43,P10,GPT-4o,1,1
44,P10,GPT-4o,1,1
45,P10,GPT-4o,1,1
46,P10,GPT-4o,1,1
47,P10,GPT-4o,1,1
48,P10,GPT-4o,0,0
49,P10,GPT-4o,0,0
50,P10,GPT-4o,0,0
51,P10,GPT-4o,1,1
52,P10,GPT-4o,1,1
53,P10,GPT-4o,1,1
54,P10,GPT-4o,1,1
55,P10,GPT-4o,1,1
56,P10,GPT-4o,1,1
57,P10,GPT-4o,1,1
58,P10,GPT-4o,0,0
59,P10,GPT-4o,0,0
60,P10,GPT-4o,0,0
41,P10,Claude-3,1,1
42,P10,Claude-3,1,1
43,P10,Claude-3,1,1
44,P10,Claude-3,1,1
45,P10,Claude-3,1,1
46,P10,Claude-3,1,1
47,P10,Claude-3,1,1
48,P10,Claude-3,0,0
49,P10,Claude-3,0,0
50,P10,Claude-3,0,0
51,P10,Claude-3,1,1
52,P10,Claude-3,1,1
53,P10,Claude-3,1,1
54,P10,Claude-3,1,1
55,P10,Claude-3,1,1
56,P10,Claude-3,1,1
57,P10,Claude-3,1,1
58,P10,Claude-3,0,0
59,P10,Claude-3,0,0
60,P10,Claude-3,0,0
41,P10,Gemini-2,1,1
42,P10,Gemini-2,1,1
43,P10,Gemini-2,1,1
44,P10,Gemini-2,1,1
45,P10,Gemini-2,1,1
46,P10,Gemini-2,1,1
47,P10,Gemini-2,1,1
48,P10,Gemini-2,0,0
49,P10,Gemini-2,0,0
50,P10,Gemini-2,0,0
51,P10,Gemini-2,1,1
52,P10,Gemini-2,1,1
53,P10,Gemini-2,1,1
54,P10,Gemini-2,1,1
55,P10,Gemini-2,1,1
56,P10,Gemini-2,1,1
57,P10,Gemini-2,1,1
58,P10,Gemini-2,0,0
59,P10,Gemini-2,0,0
60,P10,Gemini-2,0,0
41,P10,DeepSeek,1,1
42,P10,DeepSeek,1,1
43,P10,DeepSeek,1,1
44,P10,DeepSeek,1,1
45,P10,DeepSeek,1,1
46,P10,DeepSeek,1,1
47,P10,DeepSeek,1,1
48,P10,DeepSeek,0,0
49,P10,DeepSeek,0,0
50,P10,DeepSeek,0,0
51,P10,DeepSeek,1,1
52,P10,DeepSeek,1,1
53,P10,DeepSeek,1,1
54,P10,DeepSeek,1,1
55,P10,DeepSeek,1,1
56,P10,DeepSeek,1,1
57,P10,DeepSeek,1,1
58,P10,DeepSeek,0,0
59,P10,DeepSeek,0,0
60,P10,DeepSeek,0,0
