Case_No,Prompt,LLM,Ground Truth,Prediction
8,P3,GPT-4o,0,0
9,P3,GPT-4o,0,1
10,P3,GPT-4o,0,0
11,P3,GPT-4o,1,1
12,P3,GPT-4o,1,1
13,P3,GPT-4o,1,1
14,P3,GPT-4o,1,1
15,P3,GPT-4o,1,1
16,P3,GPT-4o,0,0
17,P3,GPT-4o,0,0
18,P3,GPT-4o,0,1
19,P3,GPT-4o,0,0
20,P3,GPT-4o,0,0
21,P3,GPT-4o,1,1
22,P3,GPT-4o,1,1
23,P3,GPT-4o,1,1
24,P3,GPT-4o,1,1
25,P3,GPT-4o,1,1
26,P3,GPT-4o,0,1
27,P3,GPT-4o,0,1
28,P3,GPT-4o,0,1
29,P3,GPT-4o,0,1
30,P3,GPT-4o,0,1
1,P3,Claude-3,1,1
2,P3,Claude-3,1,1
3,P3,Claude-3,1,1
4,P3,Claude-3,1,1
5,P3,Claude-3,1,1
6,P3,Claude-3,0,0
7,P3,Claude-3,0,1
8,P3,Claude-3,0,1
9,P3,Claude-3,0,1
10,P3,Claude-3,0,1
11,P3,Claude-3,1,1
12,P3,Claude-3,1,0
13,P3,Claude-3,1,1
14,P3,Claude-3,1,0
15,P3,Claude-3,1,1
16,P3,Claude-3,0,0
17,P3,Claude-3,0,0
18,P3,Claude-3,0,1
19,P3,Claude-3,0,0
20,P3,Claude-3,0,1
21,P3,Claude-3,1,1
22,P3,Claude-3,1,1
23,P3,Claude-3,1,1
24,P3,Claude-3,1,0
25,P3,Claude-3,1,1
26,P3,Claude-3,0,0
27,P3,Claude-3,0,1
28,P3,Claude-3,0,0
29,P3,Claude-3,0,1
30,P3,Claude-3,0,0
1,P3,Gemini-2,1,1
2,P3,Gemini-2,1,1
3,P3,Gemini-2,1,1
4,P3,Gemini-2,1,1
5,P3,Gemini-2,1,1
6,P3,Gemini-2,0,0
7,P3,Gemini-2,0,1
8,P3,Gemini-2,0,1
9,P3,Gemini-2,0,1
10,P3,Gemini-2,0,1
11,P3,Gemini-2,1,1
12,P3,Gemini-2,1,1
13,P3,Gemini-2,1,1
14,P3,Gemini-2,1,1
15,P3,Gemini-2,1,0
16,P3,Gemini-2,0,0
17,P3,Gemini-2,0,0
18,P3,Gemini-2,0,0
19,P3,Gemini-2,0,0
20,P3,Gemini-2,0,1
21,P3,Gemini-2,1,1
22,P3,Gemini-2,1,1
23,P3,Gemini-2,1,1
24,P3,Gemini-2,1,0
25,P3,Gemini-2,1,1
26,P3,Gemini-2,0,0
27,P3,Gemini-2,0,1
28,P3,Gemini-2,0,1
29,P3,Gemini-2,0,1
30,P3,Gemini-2,0,0
1,P3,DeepSeek,1,0
2,P3,DeepSeek,1,1
3,P3,DeepSeek,1,1
4,P3,DeepSeek,1,1
5,P3,DeepSeek,1,1
6,P3,DeepSeek,0,0
7,P3,DeepSeek,0,1
8,P3,DeepSeek,0,1
9,P3,DeepSeek,0,1
10,P3,DeepSeek,0,1
11,P3,DeepSeek,1,1
12,P3,DeepSeek,1,1
13,P3,DeepSeek,1,1
14,P3,DeepSeek,1,1
15,P3,DeepSeek,1,1
16,P3,DeepSeek,0,0
17,P3,DeepSeek,0,0
18,P3,DeepSeek,0,1
19,P3,DeepSeek,0,0
20,P3,DeepSeek,0,0
21,P3,DeepSeek,1,1
22,P3,DeepSeek,1,1
23,P3,DeepSeek,1,1
24,P3,DeepSeek,1,1
25,P3,DeepSeek,1,1
26,P3,DeepSeek,0,0
27,P3,DeepSeek,0,1
28,P3,DeepSeek,0,1
29,P3,DeepSeek,0,1
30,P3,DeepSeek,0,1
1,P4,GPT-4o,1,1
2,P4,GPT-4o,1,1
3,P4,GPT-4o,1,1
4,P4,GPT-4o,1,1
5,P4,GPT-4o,1,0
6,P4,GPT-4o,0,0
7,P4,GPT-4o,0,0
8,P4,GPT-4o,0,0
9,P4,GPT-4o,0,0
10,P4,GPT-4o,0,0
11,P4,GPT-4o,1,1
12,P4,GPT-4o,1,0
13,P4,GPT-4o,1,1
14,P4,GPT-4o,1,0
15,P4,GPT-4o,1,1
16,P4,GPT-4o,0,0
17,P4,GPT-4o,0,0
18,P4,GPT-4o,0,0
19,P4,GPT-4o,0,1
20,P4,GPT-4o,0,0
21,P4,GPT-4o,1,1
22,P4,GPT-4o,1,1
23,P4,GPT-4o,1,1
24,P4,GPT-4o,1,1
25,P4,GPT-4o,1,0
26,P4,GPT-4o,0,0
27,P4,GPT-4o,0,0
28,P4,GPT-4o,0,0
29,P4,GPT-4o,0,1
30,P4,GPT-4o,0,0
1,P4,Claude-3,1,1
2,P4,Claude-3,1,1
3,P4,Claude-3,1,1
4,P4,Claude-3,1,1
5,P4,Claude-3,1,0
6,P4,Claude-3,0,0
7,P4,Claude-3,0,1
8,P4,Claude-3,0,0
9,P4,Claude-3,0,0
10,P4,Claude-3,0,0
11,P4,Claude-3,1,1
12,P4,Claude-3,1,1
13,P4,Claude-3,1,1
14,P4,Claude-3,1,0
15,P4,Claude-3,1,1
16,P4,Claude-3,0,0
17,P4,Claude-3,0,0
18,P4,Claude-3,0,1
19,P4,Claude-3,0,0
20,P4,Claude-3,0,1
21,P4,Claude-3,1,1
22,P4,Claude-3,1,1
23,P4,Claude-3,1,1
24,P4,Claude-3,1,1
25,P4,Claude-3,1,1
26,P4,Claude-3,0,0
27,P4,Claude-3,0,1
28,P4,Claude-3,0,0
29,P4,Claude-3,0,1
30,P4,Claude-3,0,0
1,P4,Gemini-2,1,1
2,P4,Gemini-2,1,1
3,P4,Gemini-2,1,1
4,P4,Gemini-2,1,1
5,P4,Gemini-2,1,1
6,P4,Gemini-2,0,0
7,P4,Gemini-2,0,1
8,P4,Gemini-2,0,0
9,P4,Gemini-2,0,1
10,P4,Gemini-2,0,0
11,P4,Gemini-2,1,1
12,P4,Gemini-2,1,1
13,P4,Gemini-2,1,1
14,P4,Gemini-2,1,1
15,P4,Gemini-2,1,1
16,P4,Gemini-2,0,0
17,P4,Gemini-2,0,0
18,P4,Gemini-2,0,1
19,P4,Gemini-2,0,0
20,P4,Gemini-2,0,1
21,P4,Gemini-2,1,1
22,P4,Gemini-2,1,1
23,P4,Gemini-2,1,1
24,P4,Gemini-2,1,1
25,P4,Gemini-2,1,1
26,P4,Gemini-2,0,0
27,P4,Gemini-2,0,1
28,P4,Gemini-2,0,0
29,P4,Gemini-2,0,1
30,P4,Gemini-2,0,1
1,P4,DeepSeek,1,1
2,P4,DeepSeek,1,1
3,P4,DeepSeek,1,1
4,P4,DeepSeek,1,1
5,P4,DeepSeek,1,0
6,P4,DeepSeek,0,0
7,P4,DeepSeek,0,0
8,P4,DeepSeek,0,0
9,P4,DeepSeek,0,0
10,P4,DeepSeek,0,0
11,P4,DeepSeek,1,1
12,P4,DeepSeek,1,0
13,P4,DeepSeek,1,1
14,P4,DeepSeek,1,1
15,P4,DeepSeek,1,1
16,P4,DeepSeek,0,0
17,P4,DeepSeek,0,0
18,P4,DeepSeek,0,1
19,P4,DeepSeek,0,0
20,P4,DeepSeek,0,0
21,P4,DeepSeek,1,1
22,P4,DeepSeek,1,1
23,P4,DeepSeek,1,1
24,P4,DeepSeek,1,1
25,P4,DeepSeek,1,1
26,P4,DeepSeek,0,0
27,P4,DeepSeek,0,1
28,P4,DeepSeek,0,1
29,P4,DeepSeek,0,1
30,P4,DeepSeek,0,0
1,P5,GPT-4o,1,1
2,P5,GPT-4o,1,1
3,P5,GPT-4o,1,1
4,P5,GPT-4o,1,1
5,P5,GPT-4o,1,1
6,P5,GPT-4o,0,0
7,P5,GPT-4o,0,0
8,P5,GPT-4o,0,0
9,P5,GPT-4o,0,1
10,P5,GPT-4o,0,0
11,P5,GPT-4o,1,1
12,P5,GPT-4o,1,0
13,P5,GPT-4o,1,1
14,P5,GPT-4o,1,0
15,P5,GPT-4o,1,1
16,P5,GPT-4o,0,0
17,P5,GPT-4o,0,0
18,P5,GPT-4o,0,0
19,P5,GPT-4o,0,0
20,P5,GPT-4o,0,0
21,P5,GPT-4o,1,1
22,P5,GPT-4o,1,1
23,P5,GPT-4o,1,1
24,P5,GPT-4o,1,1
25,P5,GPT-4o,1,0
26,P5,GPT-4o,0,0
27,P5,GPT-4o,0,1
28,P5,GPT-4o,0,0
29,P5,GPT-4o,0,1
30,P5,GPT-4o,0,0
1,P5,Claude-3,1,1
2,P5,Claude-3,1,1
3,P5,Claude-3,1,1
4,P5,Claude-3,1,1
5,P5,Claude-3,1,1
6,P5,Claude-3,0,0
7,P5,Claude-3,0,1
8,P5,Claude-3,0,0
9,P5,Claude-3,0,1
10,P5,Claude-3,0,0
11,P5,Claude-3,1,0
12,P5,Claude-3,1,1
13,P5,Claude-3,1,1
14,P5,Claude-3,1,0
15,P5,Claude-3,1,1
16,P5,Claude-3,0,0
17,P5,Claude-3,0,0
18,P5,Claude-3,0,1
19,P5,Claude-3,0,0
20,P5,Claude-3,0,0
21,P5,Claude-3,1,1
22,P5,Claude-3,1,1
23,P5,Claude-3,1,1
24,P5,Claude-3,1,1
25,P5,Claude-3,1,1
26,P5,Claude-3,0,0
27,P5,Claude-3,0,1
28,P5,Claude-3,0,1
29,P5,Claude-3,0,1
30,P5,Claude-3,0,0
1,P5,Gemini-2,1,1
2,P5,Gemini-2,1,1
3,P5,Gemini-2,1,1
4,P5,Gemini-2,1,1
5,P5,Gemini-2,1,1
6,P5,Gemini-2,0,0
7,P5,Gemini-2,0,0
8,P5,Gemini-2,0,0
9,P5,Gemini-2,0,1
10,P5,Gemini-2,0,0
11,P5,Gemini-2,1,0
12,P5,Gemini-2,1,1
13,P5,Gemini-2,1,0
14,P5,Gemini-2,1,1
15,P5,Gemini-2,1,0
16,P5,Gemini-2,0,0
17,P5,Gemini-2,0,0
18,P5,Gemini-2,0,0
19,P5,Gemini-2,0,0
20,P5,Gemini-2,0,1
21,P5,Gemini-2,1,1
22,P5,Gemini-2,1,1
23,P5,Gemini-2,1,1
24,P5,Gemini-2,1,0
25,P5,Gemini-2,1,1
26,P5,Gemini-2,0,0
27,P5,Gemini-2,0,1
28,P5,Gemini-2,0,1
29,P5,Gemini-2,0,1
30,P5,Gemini-2,0,0
1,P5,DeepSeek,1,1
2,P5,DeepSeek,1,1
3,P5,DeepSeek,1,1
4,P5,DeepSeek,1,1
5,P5,DeepSeek,1,0
6,P5,DeepSeek,0,0
7,P5,DeepSeek,0,0
8,P5,DeepSeek,0,1
9,P5,DeepSeek,0,0
10,P5,DeepSeek,0,0
11,P5,DeepSeek,1,1
12,P5,DeepSeek,1,1
13,P5,DeepSeek,1,1
14,P5,DeepSeek,1,1
15,P5,DeepSeek,1,1
16,P5,DeepSeek,0,0
17,P5,DeepSeek,0,0
18,P5,DeepSeek,0,1
19,P5,DeepSeek,0,0
20,P5,DeepSeek,0,0
21,P5,DeepSeek,1,1
22,P5,DeepSeek,1,1
23,P5,DeepSeek,1,1
24,P5,DeepSeek,1,1
25,P5,DeepSeek,1,1
26,P5,DeepSeek,0,0
27,P5,DeepSeek,0,1
28,P5,DeepSeek,0,1
29,P5,DeepSeek,0,1
30,P5,DeepSeek,0,0
1,P6,GPT-4o,1,1
2,P6,GPT-4o,1,1
3,P6,GPT-4o,1,1
4,P6,GPT-4o,1,1
5,P6,GPT-4o,1,1
6,P6,GPT-4o,0,0
7,P6,GPT-4o,0,0
8,P6,GPT-4o,0,0
9,P6,GPT-4o,0,0
10,P6,GPT-4o,0,0
11,P6,GPT-4o,1,1
12,P6,GPT-4o,1,0
13,P6,GPT-4o,1,1
14,P6,GPT-4o,1,0
15,P6,GPT-4o,1,1
16,P6,GPT-4o,0,0
17,P6,GPT-4o,0,0
18,P6,GPT-4o,0,0
19,P6,GPT-4o,0,1
20,P6,GPT-4o,0,1
21,P6,GPT-4o,1,1
22,P6,GPT-4o,1,1
23,P6,GPT-4o,1,1
24,P6,GPT-4o,1,0
25,P6,GPT-4o,1,0
26,P6,GPT-4o,0,0
27,P6,GPT-4o,0,1
28,P6,GPT-4o,0,0
29,P6,GPT-4o,0,1
30,P6,GPT-4o,0,0
1,P6,Claude-3,1,1
2,P6,Claude-3,1,1
3,P6,Claude-3,1,1
4,P6,Claude-3,1,1
5,P6,Claude-3,1,1
6,P6,Claude-3,0,1
7,P6,Claude-3,0,0
8,P6,Claude-3,0,1
9,P6,Claude-3,0,1
10,P6,Claude-3,0,0
11,P6,Claude-3,1,1
12,P6,Claude-3,1,1
13,P6,Claude-3,1,1
14,P6,Claude-3,1,0
15,P6,Claude-3,1,1
16,P6,Claude-3,0,0
17,P6,Claude-3,0,0
18,P6,Claude-3,0,1
19,P6,Claude-3,0,0
20,P6,Claude-3,0,0
21,P6,Claude-3,1,1
22,P6,Claude-3,1,1
23,P6,Claude-3,1,1
24,P6,Claude-3,1,1
25,P6,Claude-3,1,1
26,P6,Claude-3,0,0
27,P6,Claude-3,0,1
28,P6,Claude-3,0,1
29,P6,Claude-3,0,1
30,P6,Claude-3,0,0
1,P6,Gemini-2,1,1
2,P6,Gemini-2,1,1
3,P6,Gemini-2,1,1
4,P6,Gemini-2,1,1
5,P6,Gemini-2,1,1
6,P6,Gemini-2,0,0
7,P6,Gemini-2,0,1
8,P6,Gemini-2,0,1
9,P6,Gemini-2,0,1
10,P6,Gemini-2,0,1
11,P6,Gemini-2,1,1
12,P6,Gemini-2,1,1
13,P6,Gemini-2,1,1
14,P6,Gemini-2,1,1
15,P6,Gemini-2,1,1
16,P6,Gemini-2,0,0
17,P6,Gemini-2,0,0
18,P6,Gemini-2,0,0
19,P6,Gemini-2,0,1
20,P6,Gemini-2,0,1
21,P6,Gemini-2,1,1
22,P6,Gemini-2,1,1
23,P6,Gemini-2,1,1
24,P6,Gemini-2,1,1
25,P6,Gemini-2,1,1
26,P6,Gemini-2,0,1
27,P6,Gemini-2,0,1
28,P6,Gemini-2,0,1
29,P6,Gemini-2,0,1
30,P6,Gemini-2,0,0
1,P6,DeepSeek,1,1
2,P6,DeepSeek,1,1
3,P6,DeepSeek,1,1
4,P6,DeepSeek,1,1
5,P6,DeepSeek,1,1
6,P6,DeepSeek,0,0
7,P6,DeepSeek,0,0
8,P6,DeepSeek,0,0
9,P6,DeepSeek,0,0
10,P6,DeepSeek,0,0
11,P6,DeepSeek,1,1
12,P6,DeepSeek,1,1
13,P6,DeepSeek,1,1
14,P6,DeepSeek,1,1
15,P6,DeepSeek,1,1
16,P6,DeepSeek,0,0
17,P6,DeepSeek,0,0
18,P6,DeepSeek,0,1
19,P6,DeepSeek,0,1
20,P6,DeepSeek,0,0
21,P6,DeepSeek,1,1
22,P6,DeepSeek,1,1
23,P6,DeepSeek,1,1
24,P6,DeepSeek,1,1
25,P6,DeepSeek,1,1
26,P6,DeepSeek,0,0
27,P6,DeepSeek,0,1
28,P6,DeepSeek,0,1
29,P6,DeepSeek,0,1
30,P6,DeepSeek,0,0
1,P7,GPT-4o,1,1
2,P7,GPT-4o,1,1
3,P7,GPT-4o,1,1
4,P7,GPT-4o,1,1
5,P7,GPT-4o,1,1
6,P7,GPT-4o,0,0
7,P7,GPT-4o,0,0
8,P7,GPT-4o,0,0
9,P7,GPT-4o,0,1
10,P7,GPT-4o,0,1
11,P7,GPT-4o,1,1
12,P7,GPT-4o,1,1
13,P7,GPT-4o,1,1
14,P7,GPT-4o,1,1
15,P7,GPT-4o,1,1
16,P7,GPT-4o,0,0
17,P7,GPT-4o,0,0
18,P7,GPT-4o,0,1
19,P7,GPT-4o,0,0
20,P7,GPT-4o,0,0
21,P7,GPT-4o,1,1
22,P7,GPT-4o,1,1
23,P7,GPT-4o,1,1
24,P7,GPT-4o,1,1
25,P7,GPT-4o,1,1
26,P7,GPT-4o,0,0
27,P7,GPT-4o,0,1
28,P7,GPT-4o,0,1
29,P7,GPT-4o,0,1
30,P7,GPT-4o,0,0
1,P7,Claude-3,1,1
2,P7,Claude-3,1,1
3,P7,Claude-3,1,1
4,P7,Claude-3,1,1
5,P7,Claude-3,1,1
6,P7,Claude-3,0,0
7,P7,Claude-3,0,1
8,P7,Claude-3,0,1
9,P7,Claude-3,0,1
10,P7,Claude-3,0,1
11,P7,Claude-3,1,0
12,P7,Claude-3,1,1
13,P7,Claude-3,1,0
14,P7,Claude-3,1,0
15,P7,Claude-3,1,0
16,P7,Claude-3,0,0
17,P7,Claude-3,0,0
18,P7,Claude-3,0,1
19,P7,Claude-3,0,0
20,P7,Claude-3,0,0
21,P7,Claude-3,1,1
22,P7,Claude-3,1,1
23,P7,Claude-3,1,1
24,P7,Claude-3,1,1
25,P7,Claude-3,1,1
26,P7,Claude-3,0,0
27,P7,Claude-3,0,0
28,P7,Claude-3,0,1
29,P7,Claude-3,0,1
30,P7,Claude-3,0,0
1,P7,Gemini-2,1,1
2,P7,Gemini-2,1,1
3,P7,Gemini-2,1,1
4,P7,Gemini-2,1,1
5,P7,Gemini-2,1,1
6,P7,Gemini-2,0,0
7,P7,Gemini-2,0,1
8,P7,Gemini-2,0,1
9,P7,Gemini-2,0,1
10,P7,Gemini-2,0,1
11,P7,Gemini-2,1,1
12,P7,Gemini-2,1,1
13,P7,Gemini-2,1,0
14,P7,Gemini-2,1,1
15,P7,Gemini-2,1,0
16,P7,Gemini-2,0,0
17,P7,Gemini-2,0,0
18,P7,Gemini-2,0,1
19,P7,Gemini-2,0,0
20,P7,Gemini-2,0,0
21,P7,Gemini-2,1,1
22,P7,Gemini-2,1,1
23,P7,Gemini-2,1,1
24,P7,Gemini-2,1,0
25,P7,Gemini-2,1,1
26,P7,Gemini-2,0,0
27,P7,Gemini-2,0,0
28,P7,Gemini-2,0,1
29,P7,Gemini-2,0,1
30,P7,Gemini-2,0,1
1,P7,DeepSeek,1,1
2,P7,DeepSeek,1,1
3,P7,DeepSeek,1,1
4,P7,DeepSeek,1,1
5,P7,DeepSeek,1,0
6,P7,DeepSeek,0,0
7,P7,DeepSeek,0,0
8,P7,DeepSeek,0,0
9,P7,DeepSeek,0,0
10,P7,DeepSeek,0,0
11,P7,DeepSeek,1,0
12,P7,DeepSeek,1,1
13,P7,DeepSeek,1,0
14,P7,DeepSeek,1,0
15,P7,DeepSeek,1,0
16,P7,DeepSeek,0,0
17,P7,DeepSeek,0,0
18,P7,DeepSeek,0,1
19,P7,DeepSeek,0,1
20,P7,DeepSeek,0,0
21,P7,DeepSeek,1,1
22,P7,DeepSeek,1,1
23,P7,DeepSeek,1,1
24,P7,DeepSeek,1,0
25,P7,DeepSeek,1,1
26,P7,DeepSeek,0,1
27,P7,DeepSeek,0,1
28,P7,DeepSeek,0,1
29,P7,DeepSeek,0,1
30,P7,DeepSeek,0,1
1,P8,GPT-4o,1,1
2,P8,GPT-4o,1,1
3,P8,GPT-4o,1,1
4,P8,GPT-4o,1,1
5,P8,GPT-4o,1,1
6,P8,GPT-4o,0,1
7,P8,GPT-4o,0,1
8,P8,GPT-4o,0,1
9,P8,GPT-4o,0,1
10,P8,GPT-4o,0,1
11,P8,GPT-4o,1,1
12,P8,GPT-4o,1,1
13,P8,GPT-4o,1,1
14,P8,GPT-4o,1,1
15,P8,GPT-4o,1,1
16,P8,GPT-4o,0,0
17,P8,GPT-4o,0,0
18,P8,GPT-4o,0,0
19,P8,GPT-4o,0,0
20,P8,GPT-4o,0,1
21,P8,GPT-4o,1,1
22,P8,GPT-4o,1,1
23,P8,GPT-4o,1,1
24,P8,GPT-4o,1,0
25,P8,GPT-4o,1,1
26,P8,GPT-4o,0,0
27,P8,GPT-4o,0,1
28,P8,GPT-4o,0,1
29,P8,GPT-4o,0,1
30,P8,GPT-4o,0,0
1,P8,Claude-3,1,1
2,P8,Claude-3,1,1
3,P8,Claude-3,1,1
4,P8,Claude-3,1,1
5,P8,Claude-3,1,1
6,P8,Claude-3,0,0
7,P8,Claude-3,0,1
8,P8,Claude-3,0,1
9,P8,Claude-3,0,1
10,P8,Claude-3,0,1
11,P8,Claude-3,1,1
12,P8,Claude-3,1,0
13,P8,Claude-3,1,1
14,P8,Claude-3,1,0
15,P8,Claude-3,1,1
